,Hold .,Hold t,Hold i,Hold e,Hold Shift,Hold 5,Hold Shift,Hold Caps,Hold r,Hold o,Hold a,Hold n,Hold l,Hold Enter,DD ..t,DD t.i,DD i.e,DD e.Shift,DD Shift.5,DD 5.Shift,DD Shift.Caps,DD Caps.r,DD r.o,DD o.a,DD a.n,DD n.l,DD l.Enter,UD ..t,UD t.i,UD i.e,UD e.Shift,UD Shift.5,UD 5.Shift,UD Shift.Caps,UD Caps.r,UD r.o,UD o.a,UD a.n,UD n.l,UD l.Enter,Pressure .,Pressure t,Pressure i,Pressure e,Pressure Shift,Pressure 5,Pressure Shift,Pressure Caps,Pressure r,Pressure o,Pressure a,Pressure n,Pressure l,Pressure Enter,Size .,Size t,Size i,Size e,Size Shift,Size 5,Size Shift,Size Caps,Size r,Size o,Size a,Size n,Size l,Size Enter,AvH,AvP,AvA
2409,91.0,79.0,70.0,74.0,80.0,72.0,78.0,98.0,73.0,85.0,101.0,109.0,111.0,64.0,1548.0,344.0,337.0,1242.0,841.0,757.0,506.0,842.0,597.0,255.0,482.0,203.0,473.0,1457.0,265.0,267.0,1168.0,761.0,685.0,428.0,744.0,524.0,170.0,381.0,94.0,362.0,0.177600011229515,0.254400014877319,0.302400022745132,0.302400022745132,0.667200028896331,0.120000004768371,0.686400055885314,0.10080000758171,0.110400006175041,0.302400022745132,0.235200017690658,0.129600003361701,0.153600007295608,0.302400022745132,0.354838699102401,0.419354826211929,0.38709676265716497,0.451612889766693,0.451612889766693,0.25806450843811,0.51612901687622,0.225806444883346,0.25806450843811,0.51612901687622,0.419354826211929,0.322580635547637,0.322580635547637,0.709677398204803,84.64285714285714,0.274628589195864,0.40092164703777805
1578,82.0,56.0,63.0,63.0,59.0,65.0,59.0,42.0,75.0,22.0,54.0,73.0,70.0,51.0,459.0,343.0,432.0,2791.0,459.0,1232.0,386.0,391.0,489.0,450.0,513.0,410.0,639.0,377.0,287.0,369.0,2728.0,400.0,1167.0,327.0,349.0,414.0,428.0,459.0,337.0,569.0,0.0576000027358531,0.0432000011205673,0.0816000029444694,0.220800012350082,0.072000004351139,0.0576000027358531,0.0768000036478042,0.0624000020325183,0.052800003439188,0.105600006878376,0.0624000020325183,0.0768000036478042,0.0576000027358531,0.072000004351139,0.193548381328582,0.129032254219055,0.322580635547637,0.806451559066772,0.225806444883346,0.193548381328582,0.193548381328582,0.193548381328582,0.193548381328582,0.322580635547637,0.290322571992874,0.193548381328582,0.193548381328582,0.25806450843811,59.57142857142857,0.07851428964308324,0.2649769484996789
2742,90.0,102.0,99.0,91.0,86.0,88.0,88.0,98.0,90.0,95.0,84.0,84.0,82.0,95.0,345.0,282.0,367.0,313.0,475.0,333.0,402.0,358.0,425.0,449.0,505.0,270.0,629.0,255.0,180.0,268.0,222.0,389.0,245.0,314.0,260.0,335.0,354.0,421.0,186.0,547.0,0.0576000027358531,0.0912000015377998,0.288000017404556,0.268800020217895,0.105600006878376,0.225600004196167,0.096000000834465,0.177600011229515,0.0816000029444694,0.211200013756752,0.206400007009506,0.120000004768371,0.052800003439188,0.345600008964538,0.193548381328582,0.25806450843811,0.225806444883346,0.25806450843811,0.290322571992874,0.193548381328582,0.25806450843811,0.193548381328582,0.193548381328582,0.225806444883346,0.193548381328582,0.290322571992874,0.129032254219055,0.225806444883346,90.85714285714286,0.16628572185124654,0.2235022974865772
2285,89.0,65.0,83.0,93.0,104.0,90.0,108.0,106.0,91.0,64.0,100.0,84.0,83.0,90.0,662.0,2486.0,523.0,1413.0,715.0,1125.0,891.0,738.0,1463.0,1058.0,422.0,435.0,754.0,573.0,2421.0,440.0,1320.0,611.0,1035.0,783.0,632.0,1372.0,994.0,322.0,351.0,671.0,0.340800017118454,0.110400006175041,0.115200005471706,0.340800017118454,0.240000009536743,0.758400022983551,0.163200005888938,0.206400007009506,0.609600007534027,0.172800004482269,0.0864000022411346,0.715200006961822,0.345600008964538,0.206400007009506,0.38709676265716497,0.25806450843811,0.290322571992874,0.322580635547637,0.483870953321456,0.451612889766693,0.290322571992874,0.451612889766693,0.483870953321456,0.290322571992874,0.25806450843811,0.38709676265716497,0.354838699102401,0.38709676265716497,89.28571428571429,0.31508572346397784,0.3640552886894766
1110,82.0,63.0,76.0,66.0,85.0,83.0,78.0,61.0,56.0,100.0,62.0,85.0,64.0,68.0,501.0,430.0,420.0,693.0,546.0,498.0,786.0,527.0,444.0,522.0,551.0,676.0,2049.0,419.0,367.0,344.0,627.0,461.0,415.0,708.0,466.0,388.0,422.0,489.0,591.0,1985.0,0.0576000027358531,0.0672000050544738,0.0624000020325183,0.0624000020325183,0.0624000020325183,0.0816000029444694,0.0864000022411346,0.0672000050544738,0.072000004351139,0.0816000029444694,0.0480000004172325,0.0816000029444694,0.10080000758171,0.196800008416175,0.193548381328582,0.193548381328582,0.225806444883346,0.225806444883346,0.25806450843811,0.193548381328582,0.290322571992874,0.225806444883346,0.25806450843811,0.25806450843811,0.193548381328582,0.193548381328582,0.290322571992874,0.193548381328582,73.5,0.08057143219879678,0.2281105922801148
1115,83.0,73.0,89.0,63.0,86.0,56.0,87.0,79.0,81.0,76.0,73.0,73.0,80.0,53.0,505.0,382.0,462.0,716.0,591.0,741.0,575.0,576.0,567.0,509.0,558.0,372.0,3048.0,422.0,309.0,373.0,653.0,505.0,685.0,488.0,497.0,486.0,433.0,485.0,299.0,2968.0,0.177600011229515,0.225600004196167,0.0912000015377998,0.0816000029444694,0.072000004351139,0.0768000036478042,0.0768000036478042,0.072000004351139,0.0624000020325183,0.0912000015377998,0.0480000004172325,0.552000045776367,0.211200013756752,0.0816000029444694,0.548387050628662,0.193548381328582,0.290322571992874,0.25806450843811,0.193548381328582,0.290322571992874,0.225806444883346,0.225806444883346,0.25806450843811,0.25806450843811,0.193548381328582,0.806451559066772,0.25806450843811,0.290322571992874,75.14285714285714,0.13714286445506976,0.30645159951278095
1162,104.0,90.0,73.0,47.0,19.0,18.0,76.0,61.0,98.0,64.0,54.0,73.0,45.0,51.0,526.0,311.0,717.0,2075.0,637.0,738.0,554.0,415.0,6940.0,1304.0,637.0,288.0,1295.0,422.0,221.0,644.0,2028.0,618.0,720.0,478.0,354.0,6842.0,1240.0,583.0,215.0,1250.0,0.115200005471706,0.297600001096725,0.364800006151199,0.115200005471706,0.0624000020325183,0.0384000018239021,0.0432000011205673,0.072000004351139,0.0816000029444694,0.0624000020325183,0.0480000004172325,0.0816000029444694,0.0768000036478042,0.10080000758171,0.322580635547637,0.193548381328582,0.451612889766693,0.25806450843811,0.225806444883346,0.161290317773818,0.161290317773818,0.225806444883346,0.25806450843811,0.225806444883346,0.161290317773818,0.129032254219055,0.225806444883346,0.225806444883346,62.357142857142854,0.1114285747919762,0.2304147396768837
1068,74.0,77.0,64.0,74.0,73.0,75.0,61.0,79.0,75.0,89.0,96.0,58.0,55.0,59.0,315.0,281.0,496.0,294.0,489.0,327.0,393.0,389.0,429.0,467.0,561.0,251.0,566.0,241.0,204.0,432.0,220.0,416.0,252.0,332.0,310.0,354.0,378.0,465.0,193.0,511.0,0.096000000834465,0.115200005471706,0.302400022745132,0.144000008702278,0.532800018787384,0.168000012636184,0.216000005602836,0.0912000015377998,0.302400022745132,0.393600016832351,0.129600003361701,0.408000022172927,0.124800004065036,0.196800008416175,0.193548381328582,0.25806450843811,0.419354826211929,0.322580635547637,0.354838699102401,0.322580635547637,0.451612889766693,0.25806450843811,0.25806450843811,0.419354826211929,0.25806450843811,0.322580635547637,0.290322571992874,0.322580635547637,72.07142857142857,0.23005715385079334,0.3179723407540997
1369,102.0,75.0,74.0,85.0,114.0,73.0,98.0,86.0,75.0,84.0,92.0,65.0,98.0,71.0,376.0,250.0,398.0,809.0,643.0,286.0,485.0,292.0,439.0,226.0,173.0,216.0,423.0,274.0,175.0,324.0,724.0,529.0,213.0,387.0,206.0,364.0,142.0,81.0,151.0,325.0,0.336000025272369,0.648000001907348,0.153600007295608,0.321600019931793,0.148800000548362,0.417600005865097,0.163200005888938,0.345600008964538,0.139200001955032,0.441600024700164,0.38400000333786,0.475200027227401,0.19200000166893,0.244800016283988,0.322580635547637,0.419354826211929,0.25806450843811,0.419354826211929,0.354838699102401,0.322580635547637,0.322580635547637,0.25806450843811,0.322580635547637,0.483870953321456,0.322580635547637,0.322580635547637,0.38709676265716497,0.451612889766693,85.14285714285714,0.31508572506053056,0.354838699102401
957,107.0,110.0,140.0,116.0,124.0,122.0,213.0,96.0,98.0,106.0,109.0,121.0,148.0,110.0,548.0,356.0,512.0,1471.0,881.0,930.0,1735.0,765.0,696.0,622.0,733.0,438.0,756.0,441.0,246.0,372.0,1355.0,757.0,808.0,1522.0,669.0,598.0,516.0,624.0,317.0,608.0,0.350400030612945,0.10080000758171,0.120000004768371,0.326400011777877,0.120000004768371,0.0864000022411346,0.552000045776367,0.0576000027358531,0.110400006175041,0.163200005888938,0.120000004768371,0.10080000758171,0.134400010108947,0.129600003361701,0.225806444883346,0.290322571992874,0.354838699102401,0.225806444883346,0.25806450843811,0.25806450843811,0.354838699102401,0.129032254219055,0.25806450843811,0.354838699102401,0.354838699102401,0.25806450843811,0.322580635547637,0.419354826211929,122.85714285714286,0.1765714391533812,0.29032257199287365
